Sample	Population	7F12.1	7F12.2	8B2.1	8B2.2	7D3.1	7D3.2	6C7.1	6C7.2	2B2.1	2B2.2
W1.5	Wild	199	199	353	353	261	293	190	199	301	317
W1.25	Wild	203	203	357	357	261	293	193	203	317	317
W1.45	Wild	199	199	353	353	261	293	190	199	301	317
W2.5	Wild	203	203	357	357	261	296	193	203	317	317
W2.25	Wild	203	203	357	357	261	296	193	203	317	317
W2.45	Wild	203	203	357	357	261	296	193	203	317	317
W3.5	Wild	203	203	357	357	261	296	193	203	317	317
W3.25	Wild	190	203	357	357	261	293	193	203	317	317
W3.45	Wild	203	203	357	357	261	293	193	203	317	317
W4.5	Wild	199	199	357	357	261	293	190	199	317	317
W4.25	Wild	199	199	357	357	261	293	190	199	317	317
W4.45	Wild	199	199	357	357	293	293	190	199	317	317
W5.5	Wild	190	199	357	357	261	293	199	203	317	317
W5.25	Wild	190	199	357	357	261	293	199	203	317	317
W5.45	Wild	190	199	357	357	261	293	199	203	317	317
W6.5	Wild	190	190	357	357	293	293	190	203	317	317
W6.25	Wild	190	190	357	357	293	293	190	203	317	317
W6.45	Wild	190	190	357	357	293	293	190	203	317	317
W7.5	Wild	199	199	353	353	261	296	193	203	301	317
W7.25	Wild	199	199	353	353	261	296	193	203	301	317
W7.45	Wild	199	199	353	353	261	296	193	203	301	317
W8.5	Wild	190	199	353	353	261	261	199	203	301	301
W8.25	Wild	190	199	353	353	261	261	199	203	301	301
W8.45	Wild	190	199	353	353	261	261	199	203	301	301
W9.5	Wild	190	201	357	357	261	293	193	203	317	317
W9.25	Wild	190	201	357	357	261	293	190	203	317	317
W9.45	Wild	190	201	357	357	261	293	193	203	317	317
W10.5	Wild	190	190	357	357	261	293	190	203	317	317
W10.25	Wild	190	190	357	357	261	293	193	203	317	317
W10.45	Wild	190	190	357	357	261	293	193	203	317	317
W11.5	Wild	199	199	357	357	261	261	190	199	317	317
W11.25	Wild	199	199	357	357	261	261	190	199	317	317
W11.45	Wild	199	199	357	357	261	261	190	199	317	317
W12.5	Wild	190	190	357	357	261	296	190	203	317	317
W12.25	Wild	190	190	357	357	261	296	190	203	317	317
W12.45	Wild	190	190	357	357	261	296	193	203	317	317
W13.5	Wild	190	190	355	355	293	293	199	203	315	315
W13.25	Wild	190	190	355	355	261	293	199	203	315	315
W13.45	Wild	190	190	355	355	261	293	199	203	315	315
W14.5	Wild	190	190	357	357	293	293	193	203	317	317
W14.25	Wild	190	190	357	357	293	293	193	203	317	317
W14.45	Wild	190	190	357	357	293	293	193	203	317	317
W15.5	Wild	190	199	353	353	261	261	199	203	315	315
W15.25	Wild	190	199	353	353	261	261	199	203	315	315
W15.45	Wild	190	199	353	353	261	261	199	203	315	315
W16.5	Wild	190	190	353	353	261	293	199	203	317	317
W16.25	Wild	190	190	353	353	261	293	199	203	317	317
W16.45	Wild	190	190	353	353	261	293	199	203	317	317
W17.5	Wild	190	199	353	353	261	296	199	203	317	317
W17.25	Wild	190	199	353	353	261	296	199	203	317	317
W17.45	Wild	190	199	353	353	261	296	199	203	317	317
W18.5	Wild	190	190	357	357	293	293	190	199	317	317
W18.25	Wild	190	190	357	357	261	293	190	199	317	317
W18.45	Wild	190	190	357	357	293	293	190	199	317	317
W19.5	Wild	201	201	357	357	261	296	190	199	301	301
W19.25	Wild	201	201	357	357	261	296	190	199	301	301
W19.45	Wild	201	201	357	357	261	296	190	199	301	301
W20.5	Wild	190	190	353	353	261	261	199	203	317	317
W20.25	Wild	190	190	353	353	261	261	199	203	317	317
W20.45	Wild	190	190	353	353	261	261	199	203	317	317
F1.5	Farmed	199	203	353	353	261	296	199	203	301	317
F1.25	Farmed	190	190	353	353	296	296	199	203	301	317
F1.45	Farmed	190	190	353	353	261	296	199	203	301	317
F2.5	Farmed	190	199	353	353	261	293	199	203	317	317
F2.25	Farmed	199	203	353	353	261	293	199	203	317	317
F2.45	Farmed	199	203	353	353	293	293	199	203	317	317
F3.5	Farmed	199	203	353	353	261	293	199	203	301	317
F3.25	Farmed	199	203	353	353	261	293	199	203	301	317
F3.45	Farmed	199	203	353	353	261	293	199	203	301	317
F4.5	Farmed	190	199	353	353	261	293	199	203	301	317
F4.25	Farmed	199	203	353	353	261	293	199	203	301	317
F4.45	Farmed	190	199	353	353	261	293	199	203	301	317
F5.5	Farmed	190	199	353	353	261	293	199	203	301	317
F5.25	Farmed	190	199	353	353	261	293	199	203	301	317
F5.45	Farmed	190	199	353	353	261	293	199	203	301	317
F6.5	Farmed	190	199	353	353	261	293	199	203	301	317
F6.25	Farmed	190	199	353	353	261	293	199	203	301	317
F6.45	Farmed	190	199	353	353	261	293	199	203	301	317
F7.5	Farmed	190	199	353	353	293	293	190	199	315	315
F7.25	Farmed	190	199	353	353	293	293	190	199	315	315
F7.45	Farmed	190	199	353	353	293	293	190	199	315	315
F8.5	Farmed	190	199	353	353	261	293	199	203	301	317
F8.25	Farmed	190	199	353	353	261	293	199	203	301	317
F8.45	Farmed	190	199	353	353	261	293	199	203	301	317
F9.5	Farmed	190	199	353	353	261	293	199	203	301	317
F9.25	Farmed	190	199	353	353	261	293	199	203	301	317
F9.45	Farmed	190	199	353	353	261	293	199	203	301	317
F10.5	Farmed	190	201	353	353	261	293	199	203	315	315
F10.25	Farmed	190	201	353	353	261	293	199	203	315	315
F10.45	Farmed	190	201	353	353	261	293	199	203	315	315
F11.5	Farmed	190	199	353	353	293	293	190	199	315	315
F11.25	Farmed	190	199	353	353	293	293	190	199	315	315
F11.45	Farmed	190	199	353	353	293	293	190	199	315	315
F12.5	Farmed	190	199	353	353	293	293	190	199	315	315
F12.25	Farmed	190	199	353	353	293	293	190	199	315	315
F12.45	Farmed	190	199	353	353	293	293	190	199	315	315
F13.5	Farmed	190	199	353	353	261	293	199	203	301	317
F13.25	Farmed	190	199	353	353	261	293	199	203	301	317
F13.45	Farmed	190	199	353	353	261	293	199	203	301	317
F14.5	Farmed	190	201	353	353	261	293	199	203	301	317
F14.25	Farmed	190	201	353	353	293	293	199	203	301	317
F14.45	Farmed	190	201	353	353	261	293	199	203	301	317
F15.5	Farmed	190	199	353	353	261	293	190	199	315	315
F15.25	Farmed	190	199	353	353	261	293	190	199	315	315
F15.45	Farmed	190	199	353	353	261	293	190	199	315	315
F16.5	Farmed	190	199	353	353	261	293	190	199	315	315
F16.25	Farmed	190	199	353	353	261	293	190	199	315	315
F16.45	Farmed	190	199	353	353	261	293	190	199	315	315
F17.5	Farmed	190	199	353	353	261	293	190	199	315	315
F17.25	Farmed	190	199	353	353	261	293	190	199	315	315
F17.45	Farmed	190	199	353	353	293	293	190	199	315	315
F18.5	Farmed	190	199	353	353	293	293	199	203	301	317
F18.25	Farmed	190	199	353	353	261	293	199	203	301	317
F18.45	Farmed	190	199	353	353	293	293	199	203	301	317
F19.5	Farmed	190	199	353	353	261	293	199	203	301	317
F19.25	Farmed	190	199	353	353	261	293	199	203	301	317
F19.45	Farmed	190	199	353	353	261	293	199	203	301	317
F20.5	Farmed	190	199	353	353	261	293	190	199	315	315
F20.25	Farmed	190	199	353	353	293	293	190	199	315	315
F20.45	Farmed	190	199	353	353	261	293	190	199	315	315
